Sample   	OWR	           Timestamp
      451	1  	       10.000,000 us
      452	0  	       57.000,000 us
      453	1  	       10.000,000 us
      454	0  	       57.000,000 us
      455	1  	       57.000,000 us
      456	0  	    3.951,000,000 ms
      457	1  	       57.000,000 us
      458	0  	      983.000,000 us
      459	1  	       57.000,000 us
      460	0  	      983.000,000 us
      461	1  	       11.000,000 us
      462	0  	    1.029,000,000 ms
      463	1  	       57.000,000 us
      464	0  	      983.000,000 us
      465	1  	       57.000,000 us
      466	0  	      983.000,000 us
      467	1  	       57.000,000 us
      468	0  	      983.000,000 us
      469	1  	       10.000,000 us
      470	0  	    1.030,000,000 ms
      471	1  	       57.000,000 us
      472	0  	 1.006,639,000,000 s
      473	1  	      509.000,000 us
      474	0  	       28.000,000 us
      475	1  	      112.000,000 us
      476	0  	    4.343,000,000 ms
      477	1  	       10.000,000 us
      478	0  	       56.000,000 us
      479	1  	       57.000,000 us
      480	0  	        8.000,000 us
      481	1  	       10.000,000 us
      482	0  	       57.000,000 us
      483	1  	       57.000,000 us
      484	0  	        8.000,000 us
      485	1  	       10.000,000 us
      486	0  	       57.000,000 us
      487	1  	       57.000,000 us
      488	0  	        8.000,000 us
      489	1  	       10.000,000 us
      490	0  	       56.000,000 us
      491	1  	       57.000,000 us
      492	0  	      522.000,000 us
      493	1  	       57.000,000 us
      494	0  	        8.000,000 us
      495	1  	       10.000,000 us
      496	0  	       56.000,000 us
      497	1  	       57.000,000 us
      498	0  	        8.000,000 us
      499	1  	       57.000,000 us
      500	0  	        8.000,000 us
      501	1  	       57.000,000 us
      502	0  	        8.000,000 us
      503	1  	       57.000,000 us
      504	0  	        8.000,000 us
      505	1  	       10.000,000 us
      506	0  	       57.000,000 us
      507	1  	       56.000,000 us
      508	0  	      526.000,000 us
      509	1  	       57.000,000 us
      510	0  	        8.000,000 us
      511	1  	       56.000,000 us
      512	0  	        8.000,000 us
      513	1  	       57.000,000 us
      514	0  	        8.000,000 us
      515	1  	       10.000,000 us
      516	0  	       57.000,000 us
      517	1  	       57.000,000 us
      518	0  	        8.000,000 us
      519	1  	       10.000,000 us
      520	0  	       57.000,000 us
      521	1  	       57.000,000 us
      522	0  	        8.000,000 us
      523	1  	       10.000,000 us
      524	0  	      572.000,000 us
      525	1  	       57.000,000 us
      526	0  	        8.000,000 us
      527	1  	       10.000,000 us
      528	0  	       56.000,000 us
      529	1  	       10.000,000 us
      530	0  	       57.000,000 us
      531	1  	       57.000,000 us
      532	0  	        8.000,000 us
      533	1  	       57.000,000 us
      534	0  	        8.000,000 us
      535	1  	       10.000,000 us
      536	0  	       57.000,000 us
      537	1  	       57.000,000 us
      538	0  	        7.000,000 us
      539	1  	       11.000,000 us
      540	0  	      570.000,000 us
      541	1  	       10.000,000 us
      542	0  	       57.000,000 us
      543	1  	       10.000,000 us
      544	0  	       56.000,000 us
      545	1  	       57.000,000 us
      546	0  	        8.000,000 us
      547	1  	       57.000,000 us
      548	0  	        8.000,000 us
      549	1  	       57.000,000 us
      550	0  	        8.000,000 us
      551	1  	       57.000,000 us
      552	0  	        8.000,000 us
      553	1  	       57.000,000 us
      554	0  	        8.000,000 us
      555	1  	       56.000,000 us
      556	0  	      526.000,000 us
      557	1  	       57.000,000 us
      558	0  	        8.000,000 us
      559	1  	       56.000,000 us
      560	0  	        8.000,000 us
      561	1  	       57.000,000 us
      562	0  	        8.000,000 us
      563	1  	       57.000,000 us
      564	0  	        8.000,000 us
      565	1  	       57.000,000 us
      566	0  	        8.000,000 us
      567	1  	       57.000,000 us
      568	0  	        8.000,000 us
      569	1  	       57.000,000 us
      570	0  	        8.000,000 us
      571	1  	       56.000,000 us
      572	0  	      530.000,000 us
      573	1  	       56.000,000 us
      574	0  	        8.000,000 us
      575	1  	       57.000,000 us
      576	0  	        8.000,000 us
      577	1  	       57.000,000 us
      578	0  	        8.000,000 us
      579	1  	       57.000,000 us
      580	0  	        8.000,000 us
      581	1  	       57.000,000 us
      582	0  	        8.000,000 us
      583	1  	       57.000,000 us
      584	0  	        8.000,000 us
      585	1  	       56.000,000 us
      586	0  	        8.000,000 us
      587	1  	       57.000,000 us
      588	0  	      530.000,000 us
      589	1  	       56.000,000 us
      590	0  	        8.000,000 us
      591	1  	       57.000,000 us
      592	0  	        8.000,000 us
      593	1  	       57.000,000 us
      594	0  	        8.000,000 us
      595	1  	       57.000,000 us
      596	0  	        8.000,000 us
      597	1  	       57.000,000 us
      598	0  	        8.000,000 us
      599	1  	       57.000,000 us
      600	0  	        8.000,000 us
      601	1  	       56.000,000 us
      602	0  	        8.000,000 us
      603	1  	       57.000,000 us
      604	0  	      530.000,000 us
      605	1  	       10.000,000 us
      606	0  	       56.000,000 us
      607	1  	       10.000,000 us
      608	0  	       57.000,000 us
      609	1  	       10.000,000 us
      610	0  	       57.000,000 us
      611	1  	       57.000,000 us
      612	0  	        8.000,000 us
      613	1  	       57.000,000 us
      614	0  	        8.000,000 us
      615	1  	       10.000,000 us
      616	0  	       56.000,000 us
      617	1  	       11.000,000 us
      618	0  	       56.000,000 us
      619	1  	       57.000,000 us
      620	0  	    3.119,000,000 ms
      621	1  	       57.000,000 us
      622	0  	        8.000,000 us
      623	1  	       10.000,000 us
      624	0  	       57.000,000 us
      625	1  	       10.000,000 us
      626	0  	       57.000,000 us
      627	1  	       10.000,000 us
      628	0  	       57.000,000 us
      629	1  	       10.000,000 us
      630	0  	       56.000,000 us
      631	1  	       11.000,000 us
      632	0  	       56.000,000 us
      633	1  	       57.000,000 us
      634	0  	        8.000,000 us
      635	1  	       10.000,000 us
      636	0  	    2.542,000,000 ms
      637	1  	       29.000,000 us
      638	0  	       38.000,000 us
      639	1  	       10.000,000 us
      640	0  	       57.000,000 us
      641	1  	       10.000,000 us
      642	0  	       57.000,000 us
      643	1  	       10.000,000 us
      644	0  	       57.000,000 us
      645	1  	       28.000,000 us
      646	0  	       38.000,000 us
      647	1  	       10.000,000 us
      648	0  	       57.000,000 us
      649	1  	       29.000,000 us
      650	0  	       38.000,000 us
      651	1  	       10.000,000 us
      652	0  	      562.000,000 us
      653	1  	       11.000,000 us
      654	0  	       56.000,000 us
      655	1  	       29.000,000 us
      656	0  	       38.000,000 us
      657	1  	       28.000,000 us
      658	0  	       39.000,000 us
      659	1  	       28.000,000 us
      660	0  	       39.000,000 us
      661	1  	       28.000,000 us
      662	0  	       38.000,000 us
      663	1  	       29.000,000 us
      664	0  	       38.000,000 us
      665	1  	       29.000,000 us
      666	0  	       38.000,000 us
      667	1  	       29.000,000 us
      668	0  	      543.000,000 us
      669	1  	       11.000,000 us
      670	0  	       56.000,000 us
      671	1  	       10.000,000 us
      672	0  	       57.000,000 us
      673	1  	       28.000,000 us
      674	0  	       39.000,000 us
      675	1  	       28.000,000 us
      676	0  	       39.000,000 us
      677	1  	       28.000,000 us
      678	0  	       38.000,000 us
      679	1  	       29.000,000 us
      680	0  	       38.000,000 us
      681	1  	       29.000,000 us
