Sample   	OWR	           Timestamp
      285	1  	       27.000,000 us
      286	0  	       39.000,000 us
      287	1  	       11.000,000 us
      288	0  	       56.000,000 us
      289	1  	       57.000,000 us
      290	0  	        8.000,000 us
      291	1  	       27.000,000 us
      292	0  	      551.000,000 us
      293	1  	       11.000,000 us
      294	0  	       56.000,000 us
      295	1  	       57.000,000 us
      296	0  	        8.000,000 us
      297	1  	       27.000,000 us
      298	0  	       40.000,000 us
      299	1  	       10.000,000 us
      300	0  	       57.000,000 us
      301	1  	       56.000,000 us
      302	0  	        8.000,000 us
      303	1  	       28.000,000 us
      304	0  	       39.000,000 us
      305	1  	       10.000,000 us
      306	0  	       57.000,000 us
      307	1  	       57.000,000 us
      308	0  	      519.000,000 us
      309	1  	       28.000,000 us
      310	0  	       39.000,000 us
      311	1  	       10.000,000 us
      312	0  	       57.000,000 us
      313	1  	       57.000,000 us
      314	0  	        8.000,000 us
      315	1  	       27.000,000 us
      316	0  	       40.000,000 us
      317	1  	       10.000,000 us
      318	0  	       56.000,000 us
      319	1  	       57.000,000 us
      320	0  	        8.000,000 us
      321	1  	       28.000,000 us
      322	0  	       39.000,000 us
      323	1  	       10.000,000 us
      324	0  	      566.000,000 us
      325	1  	       57.000,000 us
      326	0  	        8.000,000 us
      327	1  	       28.000,000 us
      328	0  	       39.000,000 us
      329	1  	       10.000,000 us
      330	0  	       57.000,000 us
      331	1  	       57.000,000 us
      332	0  	        8.000,000 us
      333	1  	       27.000,000 us
      334	0  	       39.000,000 us
      335	1  	       11.000,000 us
      336	0  	       56.000,000 us
      337	1  	       57.000,000 us
      338	0  	        8.000,000 us
      339	1  	       27.000,000 us
      340	0  	      551.000,000 us
      341	1  	       10.000,000 us
      342	0  	       57.000,000 us
      343	1  	       57.000,000 us
      344	0  	        8.000,000 us
      345	1  	       27.000,000 us
      346	0  	       40.000,000 us
      347	1  	       10.000,000 us
      348	0  	       57.000,000 us
      349	1  	       56.000,000 us
      350	0  	        8.000,000 us
      351	1  	       28.000,000 us
      352	0  	       39.000,000 us
      353	1  	       10.000,000 us
      354	0  	       57.000,000 us
      355	1  	       57.000,000 us
      356	0  	      519.000,000 us
      357	1  	       10.000,000 us
      358	0  	       57.000,000 us
      359	1  	       27.000,000 us
      360	0  	       40.000,000 us
      361	1  	       10.000,000 us
      362	0  	       57.000,000 us
      363	1  	       10.000,000 us
      364	0  	       56.000,000 us
      365	1  	       28.000,000 us
      366	0  	       39.000,000 us
      367	1  	       10.000,000 us
      368	0  	       57.000,000 us
      369	1  	       10.000,000 us
      370	0  	       57.000,000 us
      371	1  	       27.000,000 us
      372	0  	      545.000,000 us
      373	1  	       10.000,000 us
      374	0  	       57.000,000 us
      375	1  	       10.000,000 us
      376	0  	       57.000,000 us
      377	1  	       27.000,000 us
      378	0  	       40.000,000 us
      379	1  	       10.000,000 us
      380	0  	       56.000,000 us
      381	1  	       11.000,000 us
      382	0  	       56.000,000 us
      383	1  	       28.000,000 us
      384	0  	       39.000,000 us
      385	1  	       10.000,000 us
      386	0  	       57.000,000 us
      387	1  	       10.000,000 us
      388	0  	      562.000,000 us
      389	1  	       28.000,000 us
      390	0  	       39.000,000 us
      391	1  	       10.000,000 us
      392	0  	       57.000,000 us
      393	1  	       27.000,000 us
      394	0  	       40.000,000 us
      395	1  	       10.000,000 us
      396	0  	       56.000,000 us
      397	1  	       57.000,000 us
      398	0  	        8.000,000 us
      399	1  	       28.000,000 us
      400	0  	       39.000,000 us
      401	1  	       10.000,000 us
      402	0  	       57.000,000 us
      403	1  	       57.000,000 us
      404	0  	    3.741,000,000 ms
      405	1  	      509.000,000 us
      406	0  	       28.000,000 us
      407	1  	      112.000,000 us
      408	0  	    4.343,000,000 ms
      409	1  	       10.000,000 us
      410	0  	       57.000,000 us
      411	1  	       57.000,000 us
      412	0  	        8.000,000 us
      413	1  	       10.000,000 us
